experiment_id,experiment_label,publication_status,source_workbook,source_row,source_column,host,host_type,plant_id,plant_number,treatment_class,isolate_1,isolate_2,mixture_ratio,total_dose_conidia_per_ml,component_dose_conidia_per_ml,condition_id,technical_subsamples,plant_mean_score,raw_code
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,21,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,mixture,AMP155,AMP170,1:1,1000000,500000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|1000000,3,2.3333333333333335,223
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,21,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,mixture,AMP155,AMP170,1:1,100000,50000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|100000,3,1.6666666666666667,212
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,21,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,mixture,AMP155,AMP170,1:1,10000,5000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,22,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,mixture,AMP155,AMP170,1:1,1000000,500000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|1000000,3,2.6666666666666665,422
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,22,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,mixture,AMP155,AMP170,1:1,100000,50000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|100000,3,2.0,321
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,22,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,mixture,AMP155,AMP170,1:1,10000,5000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|10000,3,1.0,111
E2_RTx2536_AMP77_AMP207,Experiment 2,published,Raw score2 (1).xlsx,25,2,RTx2536,sorghum,E2_RTx2536_AMP77_AMP207_P01,1,single,AMP77,,,1000000,1000000,E2_RTx2536_AMP77_AMP207|AMP77|1000000,3,1.6666666666666667,122
E2_RTx2536_AMP77_AMP207,Experiment 2,published,Raw score2 (1).xlsx,25,3,RTx2536,sorghum,E2_RTx2536_AMP77_AMP207_P01,1,single,AMP77,,,500000,500000,E2_RTx2536_AMP77_AMP207|AMP77|500000,3,2.0,222
E2_RTx2536_AMP77_AMP207,Experiment 2,published,Raw score2 (1).xlsx,25,4,RTx2536,sorghum,E2_RTx2536_AMP77_AMP207_P01,1,single,AMP77,,,100000,100000,E2_RTx2536_AMP77_AMP207|AMP77|100000,3,1.3333333333333333,121
E2_RTx2536_AMP77_AMP207,Experiment 2,published,Raw score2 (1).xlsx,25,5,RTx2536,sorghum,E2_RTx2536_AMP77_AMP207_P01,1,single,AMP77,,,50000,50000,E2_RTx2536_AMP77_AMP207|AMP77|50000,3,1.0,111
